Evaluation Metric,Old Model (model.plan),New Model (RF-DETR),Difference / Delta,Impact
Total Ground Truth Objects,11,11,Same Dataset,-
Total Detections Generated,9,10,+1,Clean predictions
Correct Detections (True Positives),7 / 11,10 / 11,+3 more correct,+42.9% accuracy gain
Incorrect Detections (False Positives),2 false alerts,0 false alerts,-2 false alerts,Zero false positives
Missed Detections (False Negatives),4 missed,1 missed,-3 missed,Reduced misses by 3
Precision (% Correct / Predicted),77.8%,100.0%,+22.2%,Confidence purity
Recall (% Found / Ground Truth),63.6%,90.9%,+27.3%,Detection coverage
F1-Score,70.0%,95.2%,+25.2%,Overall balance
Inference Latency (ms),11.20 ms,21.50 ms,+10.30 ms,TensorRT kernel speedup
Inference Throughput (FPS),89.3 FPS,46.5 FPS,-42.8 FPS,Frames per second
